"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PIWIL1",91.5529809768995,5.22811919772466,0.674747699070093,1.78934192677414e-17,2.86107253415343e-15
"PDZD4",232.924470811809,-3.92536320529318,0.505270949333239,2.95966154274528e-17,4.6877129850142e-15
"PRKCB",546.327032079439,-2.79730719628503,0.346564636201461,3.55462685093635e-17,5.57744207480097e-15
"FAM107A",688.764131728817,-3.66398202777697,0.479693055938548,3.99623714686938e-17,6.21229865359167e-15
"GRIN2B",92.6281890304451,3.88831714458834,0.502913793097559,4.3644229332603e-17,6.72241253454195e-15
"SH3TC2",190.269011278422,3.51676268452972,0.454535947752424,4.43693376841472e-17,6.77197100344679e-15
"SCN9A",364.980167438131,-4.0411911433224,0.530210895415444,4.60989534978613e-17,6.97257054302336e-15
"RNF152",1052.71244704575,-3.79101233340541,0.506114815345417,4.67495517866802e-17,7.00784129416584e-15
"TMEM211",193.091297935397,5.79424599572819,0.865904302364517,4.89143415408984e-17,7.26745911619596e-15
"RNF183",92.2181083474963,3.85507948732798,0.496319128452834,5.60798214182977e-17,8.25898352448947e-15
"ADAMDEC1",5470.90914822509,-4.15732647561556,0.57624570417854,6.98876189061953e-17,1.02029846418792e-14
"ADCY5",645.303253544395,-3.38823932764883,0.441434337609059,8.30105016108724e-17,1.20143388926288e-14
"RP11-350J20.12",74.7547698361331,6.73217954385049,0.894705767702254,8.9470021148366e-17,1.28385656842728e-14
"PRKG2",387.823329229763,-4.86157663341057,0.69273163918673,9.04927929530347e-17,1.28752839058347e-14
"EVA1A",138.756931115734,3.38469338188431,0.436317208353665,9.58921569142581e-17,1.3528852289357e-14
"PLEKHG4",1270.36367104976,2.68750749365993,0.339289485901576,1.11221828849253e-16,1.55608607045842e-14
"SLC51B",1484.96807616615,-4.64580652224837,0.67852748324574,1.12215006037675e-16,1.55700639369134e-14
"EGFL6",56.3030971552682,3.53378519177451,0.449948587834299,1.30763356733149e-16,1.79586496005871e-14
"C2orf70",98.9889007670651,3.79956673780416,0.496970916845287,1.31569116735494e-16,1.79586496005871e-14
"EPHA7",504.130560225698,-4.22340014538848,0.569768936180022,1.56273763625508e-16,2.11587114315214e-14
"BLACAT1",75.6380179748923,4.18561282870615,0.55739090257349,1.98704268688216e-16,2.66883677360516e-14
"BGN",5046.12564894948,2.53860515471233,0.322017456114972,2.10115971806706e-16,2.79971194497047e-14
"EDAR",743.460550050816,3.79427696109515,0.525016004266928,2.25910887348312e-16,2.9864707777093e-14
"GFRA1",426.225888861447,-3.27822938375942,0.430626357371214,2.29764171327067e-16,3.01368021282041e-14
"KCNMA1",2092.29226964684,-2.98588614116419,0.387147582134113,2.53581950027534e-16,3.30030027830408e-14
"SLC51A",1409.40523007688,-4.10123664518036,0.596069969288882,4.21578391137597e-16,5.44452277600701e-14
"MSX2",192.303247951148,4.14373079376381,0.588951113605569,5.4793635146538e-16,7.02236901126127e-14
"LIFR",527.418728719996,-3.89520979659557,0.53515371244476,6.21151389246635e-16,7.90038687428921e-14
"INAFM2",285.576717712902,-2.88141036395612,0.372702386825305,6.25960419826715e-16,7.90169134471482e-14
"STMN2",403.003044505594,-4.06562862881283,0.580081816591423,6.33043067706503e-16,7.93146273412274e-14
"JPH2",760.160099317023,-3.74617739149609,0.521850283433615,7.43208444682334e-16,9.22850669676877e-14
"GRIK3",192.168175270061,-4.60934280417494,0.664934937729239,7.47559062934393e-16,9.22850669676877e-14
"ABCA8",757.680446444869,-4.15072472281389,0.59669125335362,7.55792190598743e-16,9.26204021019146e-14
"NEGR1",566.101630158848,-3.23948936820529,0.435257085529465,9.84757910147955e-16,1.19805076474449e-13
"MYADML2",77.5043369066797,4.24707044547624,0.59637851475425,1.44966137250137e-15,1.75030470591819e-13
"RBPMS2",482.387367905203,-3.57233608799781,0.493119241529779,1.45954290802636e-15,1.75030470591819e-13
"SPARCL1",6144.10452308146,-2.76852340523263,0.369696107004828,1.66965116358304e-15,1.98806903442522e-13
"PDE3A",1623.02542200484,-2.5400659741303,0.33428662819085,1.71396719366268e-15,2.0264644517185e-13
"HILPDA",551.044851604739,2.4331088790895,0.318678292779782,1.76479690029677e-15,2.07197029084492e-13
"FGL2",2433.96445601586,-2.77111506777816,0.370672945705442,1.94217748443891e-15,2.26439012404478e-13
"MT1H",1719.99673768939,-4.07868316655611,0.617719773139496,1.96770768859296e-15,2.2783340954336e-13
"SLC17A4",856.063502979869,-4.50095016847777,0.702671367775887,2.27325642415284e-15,2.60819188490265e-13
"MYOM1",430.568605516586,-3.85067404586627,0.551927511288255,2.28366315492698e-15,2.60819188490265e-13
"FJX1",134.100590268905,3.27254408999926,0.443912907323556,2.36576000035383e-15,2.68369896256355e-13
"MFAP2",482.763189834764,2.76787767277335,0.371125997446539,2.88730257832918e-15,3.25335053607843e-13
"SALL4",41.5278425672244,4.4741400603796,0.623074277932427,3.33525172233316e-15,3.73303607775009e-13
"UGT1A10",866.679076626555,-3.9339367195307,0.582060724586486,3.41998855973525e-15,3.80252900194669e-13
"LMOD1",5398.59355676734,-3.56932618420228,0.519614982539999,3.8861102714321e-15,4.27282045883472e-13
"GLP2R",204.491818967463,-3.56724919163704,0.490109188814139,3.89723673073725e-15,4.27282045883472e-13
"SEMA6D",1423.21848824266,-3.77176396984746,0.55073768291679,3.9193183075856e-15,4.27282045883472e-13
"IL6R",1635.29806613073,-2.95454689197899,0.407157557925666,5.0141183466961e-15,5.43109889823747e-13
"NCAM1",650.656259411263,-3.39459382785332,0.478628531296622,6.28251784735787e-15,6.76080497713768e-13
"RELL2",135.094766269856,2.74815471924832,0.369586630478192,6.32227280606716e-15,6.76080497713768e-13
"SLC35D3",203.115988529982,4.21121250210832,0.63803168112536,8.20952205386659e-15,8.72339656723837e-13
"PPP1R12B",7498.99507720883,-3.03248541290376,0.42606386260363,8.65405640891956e-15,9.13792157543085e-13
"PRR7",408.78754471976,3.46821388717705,0.497204039191035,8.71540551382594e-15,9.14518394822648e-13
"CYP2C18",506.515245775969,-4.56476616966035,0.705802180382349,9.35902805573682e-15,9.75954795203512e-13
"S100P",4551.22047587599,3.61394509009624,0.540693665857364,1.23456061190334e-14,1.27382014248766e-12
"POPDC2",456.813169575376,-3.57063184818424,0.505024349003049,1.23671858493948e-14,1.27382014248766e-12
"RP11-58O9.2",205.45539232713,3.8804388360741,0.579432978318606,1.25443075413798e-14,1.28418523970869e-12
"VSNL1",675.82110253838,3.81978769464881,0.577919184003072,1.30956069254417e-14,1.32578526706465e-12
"PWAR6",60.1345184763326,-4.68980149342302,0.665107313688223,1.31086041058271e-14,1.32578526706465e-12
"C2orf88",2120.61845156776,-4.30842727609954,0.695007419962602,1.4366536744813e-14,1.44431009226746e-12
"IL11",66.6605320973354,4.79264073194552,0.712405246683172,1.47337948095194e-14,1.47241476819656e-12
"SLC25A34",457.947746800993,-3.9466218785793,0.604285178330788,1.55731698820388e-14,1.54708845650621e-12
"TMPRSS3",292.307981177046,2.76989622036879,0.381305862762174,1.59961857424793e-14,1.57976448488521e-12
"NFE2L3",2880.76944201991,3.05469717476638,0.43624078583384,1.77749700856498e-14,1.74516943139167e-12
"CHL1",297.6938790969,-3.0694972969064,0.432618804405326,1.80753065182339e-14,1.76433907636412e-12
"CLDN2",1758.50533241098,5.1017984801445,0.894483709899716,1.84646432561756e-14,1.79192425218457e-12
"ACSL6",584.626741728251,3.87403924218691,0.604082292781828,1.98468244026713e-14,1.91499043043936e-12
"LEMD1",85.8181551449635,5.57966162471018,0.922741280932268,2.00746957902767e-14,1.92590895784546e-12
"LINC00460",25.529993910458,8.07916778993446,1.40964014568046,2.11273240920909e-14,1.99817376521861e-12
"MEX3A",499.421612331243,3.44020616170807,0.509672369221887,2.12113538617924e-14,1.99817376521861e-12
"ATP6V1C2",195.403290294901,3.05013376044418,0.432426632425701,2.12449384588163e-14,1.99817376521861e-12
"SIM2",236.280760737028,3.53964455918647,0.522033082611683,2.13040147700358e-14,1.99817376521861e-12
"TRPM2-AS",89.5540263567268,5.02422402028936,0.854711485117918,2.26299608102715e-14,2.11074673357582e-12
"USP2",922.440682427551,-3.72414887713683,0.574447864404917,2.61835613604562e-14,2.41771180496692e-12
"CPXM1",393.503070616202,3.16659743720476,0.458810581158518,2.62090385671559e-14,2.41771180496692e-12
"TMEM35",328.214747488728,-4.20261763101679,0.646507845257036,2.78973883480398e-14,2.55939482500131e-12
"C1QTNF7",142.064021788737,-3.38028689473519,0.480666436666881,3.23326863317134e-14,2.95018190664748e-12
"LYVE1",842.236454742023,-3.99488244775497,0.637860589337116,3.472374474826e-14,3.15122675988398e-12
"LINC00659",67.6511030351504,5.65784518296121,0.890193532837849,3.8268125351796e-14,3.45421266952314e-12
"CYP27B1",104.50998337795,2.77865414739492,0.386709357033461,4.0641587543806e-14,3.64883215653988e-12
"RNF43",6090.75852971187,2.27587787452186,0.315683651159092,4.37836578821967e-14,3.91002038395852e-12
"SGK1",7335.93861975936,-3.44987196414031,0.523579559259969,4.9985522543154e-14,4.44024834908472e-12
"CDC25B",4241.31349890484,2.67871991048117,0.381043233673722,5.16633819480471e-14,4.56513957645138e-12
"MTHFD1L",978.682260264131,2.69795154774214,0.383848273211739,5.21773519986217e-14,4.58641655866419e-12
"SFTA2",59.8033669636899,7.16911433810767,1.25505170428633,5.98101997589445e-14,5.22996585287978e-12
"TMEM100",213.729909439988,-3.8603515075969,0.582899351681707,6.03334465003178e-14,5.24838462846547e-12
"AF064858.8",108.442663164218,3.19446777242294,0.460332257872075,6.52251303667903e-14,5.64466347282496e-12
"PHLPP2",2665.4084974832,-3.34924430427162,0.516101395657165,9.35697501367123e-14,8.01957444501835e-12
"RP11-353N14.4",87.2834660229055,3.86056815637756,0.592804049616337,9.36230026340816e-14,8.01957444501835e-12
"GSTM5",139.766611970718,-3.06651684135694,0.441519766971266,1.02386185620152e-13,8.72569375825751e-12
"GDPD2",706.837172742964,-4.13687737505868,0.6979266478126,1.2414296301495e-13,1.05264454851414e-11
"KIAA1644",469.3450711305,-3.02204641426471,0.437437265253867,1.2824361093562e-13,1.0819507457277e-11
"HSD17B2",3058.50613047683,-4.00007600014963,0.667848202490636,1.33708695335452e-13,1.12241764299346e-11
"CA9",710.298450888814,4.23041614093006,0.742384636013758,1.43582930149558e-13,1.19931035536365e-11
"GPM6B",378.926387439802,-2.83377936860789,0.41296182994721,1.48025559711363e-13,1.23029758514558e-11
"DES",45035.5104275496,-4.44162278565372,0.854888617340167,1.51539228769781e-13,1.25329660680584e-11
