"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ELFN1-AS1",255.495505688602,5.72868477239183,0.839717489428803,4.05505696784574e-13,6.34080841906068e-11
"CXCL3",754.702053600831,3.77370212459697,0.552837588171893,5.22504952665617e-13,8.09394354246038e-11
"SIM2",236.280760737028,3.86541542837269,0.566109717932808,5.3188145651967e-13,8.13530379151563e-11
"MTHFD1L",978.682260264131,2.62867086805651,0.382714325841999,5.34991320226367e-13,8.13530379151563e-11
"CELSR3",474.394897806314,2.57395022247224,0.375827319796514,5.95534767725987e-13,8.97362615914385e-11
"PRKG2",387.823329229763,-4.88312145422366,0.710767295916,6.12497425687353e-13,9.1460764241152e-11
"GUCA2A",13417.9374360061,-4.46715355511466,0.660363091384064,6.91594429086834e-13,1.01904309141093e-10
"FAM150A",21.2272020837919,3.44986148841822,0.506900566735028,6.94732243314844e-13,1.01904309141093e-10
"CMSS1",537.334486126825,1.56704774275669,0.226509538341993,8.0514206454269e-13,1.17063418594694e-10
"TMEM147-AS1",229.749484685108,2.16950624069953,0.317337363742739,8.90530611068351e-13,1.28352564160504e-10
"SHISA2",76.8420824364166,3.21274968399058,0.473529115970882,1.00579904804291e-12,1.43716545011303e-10
"SLC11A1",193.981104366709,2.66769423969796,0.394142956326108,1.10717277926928e-12,1.56849477063148e-10
"APLN",195.052680482654,3.48522624371616,0.518855584010702,1.17774864948384e-12,1.65433761569446e-10
"RP11-58O9.2",205.45539232713,4.21521923929295,0.631683558974946,1.43101319494937e-12,1.99319695010805e-10
"AGPAT9",816.203887643598,-3.04187069203406,0.452940358548376,1.47333416601119e-12,2.03504281680295e-10
"NME1",1691.85656057483,2.33114888372365,0.345091177934245,1.59740999619288e-12,2.18818766007413e-10
"SLC35D3",203.115988529982,4.79835734318566,0.722020292471384,1.64400137040177e-12,2.2335510421647e-10
"KLF9",1866.95036243686,-2.24552393574031,0.334915086196591,2.0240043122155e-12,2.71553287691409e-10
"NKD2",628.067976371965,4.56227909862445,0.690076404882544,2.03152987473513e-12,2.71553287691409e-10
"SLCO4A1-AS1",317.666244137509,4.6700164290842,0.708541492749451,2.2196727988159e-12,2.94328613122989e-10
"CNTD2",316.085558744981,6.38926124090834,0.977799037459398,2.69919685724646e-12,3.54604998864843e-10
"CDKN2B",2968.450186763,-3.18579155981827,0.482441816699859,2.71703377712429e-12,3.54604998864843e-10
"EDAR",743.460550050816,4.37693775389825,0.665962751697435,2.83494692146151e-12,3.67103478306442e-10
"CPXM1",393.503070616202,3.1294287328773,0.474487467332151,3.15103252735238e-12,4.04871039851672e-10
"ADAMDEC1",5470.90914822509,-3.71611797940488,0.565974252691845,3.23425645096445e-12,4.12367697497967e-10
"C2orf88",2120.61845156776,-4.03603745512438,0.61667000547637,3.33472942572776e-12,4.21932368178913e-10
"PDE3A",1623.02542200484,-2.47451454937969,0.373740689761777,3.39618345658798e-12,4.26452581764741e-10
"NAA20",2110.60289169129,1.53110987195998,0.22836598923398,3.62568891267195e-12,4.48573478286317e-10
"NCAM1",650.656259411263,-3.29394928196372,0.499500097075582,3.62647638554247e-12,4.48573478286317e-10
"RNF112",50.1747824348054,-2.18110758256483,0.327199006489279,3.78366795408144e-12,4.6455034325111e-10
"ABHD3",2044.44846684938,-2.17958548120315,0.329738836984713,3.90712046854035e-12,4.76180307103356e-10
"GDPD5",1113.98124453786,3.14623614631639,0.48154103328047,4.54137189818383e-12,5.4943970228027e-10
"AZGP1",3411.39551858723,4.25986668568205,0.656276557997888,4.75892697662762e-12,5.71588511866687e-10
"SLC4A11",237.523451148695,4.60655532069067,0.711142548754616,4.88482921916311e-12,5.82489527393011e-10
"RP5-1120P11.1",28.6930200180246,5.22774232732434,0.805180767611661,5.79205548328427e-12,6.85737997395977e-10
"SLC5A6",2981.36502819994,2.07170247667041,0.316499168613951,7.48318132825176e-12,8.79501869238137e-10
"SLC51B",1484.96807616615,-4.36701615677042,0.681022495813619,7.53479731112009e-12,8.79501869238137e-10
"ASB9",215.436243201857,2.68156296716368,0.414466042380552,7.69838103906657e-12,8.92312347709989e-10
"C9orf117",95.4068920871635,2.55592549127167,0.394509161618117,7.86032337894206e-12,9.04755972263644e-10
"LY6G6C",58.1002144577697,4.41835296273042,0.691893719980417,8.97180269805965e-12,1.02556986014027e-09
"BYSL",800.184256136613,1.8798223855741,0.288395373578998,9.05781102875268e-12,1.0283097109697e-09
"NPFFR1",56.1939416662736,3.682565505991,0.581831044608734,1.07384055870047e-11,1.20435149322772e-09
"RP11-372E1.1",301.056770287998,6.26806983976156,0.990133381543858,1.07537870888508e-11,1.20435149322772e-09
"TSPAN7",1734.98348967446,-3.09622572351087,0.484435773460592,1.08947510183188e-11,1.21016145784294e-09
"TACSTD2",660.887551994915,4.78137155705762,0.752376940737355,1.09516874012936e-11,1.21016145784294e-09
